algo,time,nodes,path
r,0.07416892051696777,110,3.8692480955233934
r,0.07608413696289062,112,3.713588480751694
r,0.06823515892028809,110,3.697268301255966
r,0.07377099990844727,109,3.905113632505184
r,0.06916117668151855,108,3.777057148072745
r,0.06718707084655762,109,3.2591323791498374
r,0.06939005851745605,111,3.183026585373373
r,0.060764312744140625,108,3.826567201644717
r,0.06749367713928223,108,3.778126886898229
r,0.07336616516113281,109,3.6668960587446424
s,0.10926604270935059,112,4.5311008089443305
s,0.08898425102233887,109,3.82094518219138
s,0.08811831474304199,108,3.7753585792210993
s,0.09232330322265625,108,3.200345121865931
s,0.09272909164428711,109,3.5046259480705926
s,0.12196922302246094,108,3.0431305203917076
s,0.0920114517211914,109,3.361088349068106
s,0.09352231025695801,112,3.999650534124544
s,0.1537456512451172,111,3.4263745975901294
s,0.09250998497009277,109,3.7723360654053613
b,0.006397724151611328,17,3.0752830997718656
b,0.011867523193359375,17,3.1294875945735816
b,0.007741212844848633,17,3.096829751369079
b,0.00623631477355957,18,3.2456688048503612
b,0.0081634521484375,17,3.0849305318738285
b,0.006224632263183594,17,3.181201862699816
b,0.0054438114166259766,17,3.1325454914428272
b,0.006318330764770508,17,3.1448680471480603
b,0.005749225616455078,17,3.0450138774462805
b,0.006697416305541992,17,3.1291563347058524
