algo,time,nodes,path
r,0.17320585250854492,123,2.8695782288100835
r,0.17018890380859375,139,2.8996368440058706
r,0.810884952545166,492,5.4681560550755925
r,0.08399534225463867,75,2.868837973906963
r,0.09040594100952148,74,2.529259081698002
r,0.40863037109375,252,4.46093798429866
r,0.16644573211669922,144,3.3353984150281333
r,0.1738271713256836,189,3.2087023932766803
r,0.2788662910461426,170,5.195520869744332
r,0.2809765338897705,216,4.5543018307743255
s,1.8085730075836182,590,6.372732547403991
s,1.2021613121032715,477,3.4026150879375265
s,1.3867075443267822,511,6.585988042381683
s,0.1093752384185791,63,2.432036880193769
s,1.7143993377685547,554,4.698513840977428
s,1.1563408374786377,458,6.252361262155706
s,0.09505558013916016,68,2.4508183227080766
s,0.1392049789428711,73,2.7954433790024917
s,2.468440294265747,729,2.883597524125862
s,0.5832736492156982,282,5.2346432862544425
